cycle,queueSize,serverCount,totalGenerated,totalBlocked,totalProcessed
# cycle 1: added server
719,319,6,811,2,485
720,319,6,812,2,486
721,318,6,812,2,486
722,318,6,812,2,486
723,318,6,812,2,487
724,318,6,813,2,487
725,318,6,813,2,487
726,318,6,813,2,488
727,317,6,813,2,488
728,318,6,814,2,490
729,316,6,814,2,490
730,318,6,816,2,490
731,318,6,816,2,490
732,318,6,816,2,491
733,317,6,816,2,492
734,316,6,816,2,492
735,316,6,816,2,492
736,317,6,817,2,492
737,317,6,817,2,492
738,318,6,818,2,493
739,317,6,818,2,494
740,317,6,819,2,496
741,315,6,819,2,496
742,315,6,819,2,497
743,314,6,819,2,499
744,312,6,819,2,502
745,309,6,819,2,502
746,309,6,819,2,502
747,309,6,819,2,502
748,309,6,819,2,502
749,309,6,819,2,503
750,309,6,820,2,503
751,312,6,823,2,504
752,311,6,823,2,504
753,312,6,824,2,505
754,311,6,824,2,506
755,311,6,825,2,507
756,310,6,825,2,508
757,309,6,825,2,508
758,309,6,825,2,508
759,309,6,825,2,508
760,309,6,825,2,508
761,311,6,827,2,509
762,310,6,827,2,509
763,313,6,830,2,510
764,312,6,830,2,512
765,310,6,830,2,513
766,309,6,830,2,513
767,309,6,830,2,513
768,309,6,830,2,513
769,309,6,830,2,514
770,309,6,831,2,515
771,308,6,831,2,515
772,310,6,833,2,515
773,312,6,835,2,515
774,314,6,837,2,516
775,314,6,838,2,516
776,315,6,839,2,516
777,315,6,839,2,517
778,314,6,839,2,517
779,314,6,839,2,517
780,315,6,840,2,518
781,314,6,840,2,520
782,312,6,840,2,520
783,312,6,840,2,521
784,311,6,840,2,522
785,310,6,840,2,522
786,310,6,840,2,522
787,310,6,840,2,523
788,309,6,840,2,523
789,312,6,843,2,524
790,311,6,843,2,526
791,309,6,843,2,528
792,308,6,844,2,528
793,308,6,844,2,529
794,307,6,844,2,530
795,306,6,844,2,530
796,308,6,846,2,531
797,309,6,848,2,531
798,309,6,848,2,531
799,310,6,849,2,532
800,311,6,851,2,533
801,310,6,851,2,533
802,310,6,851,2,535
803,308,6,851,2,535
804,309,6,852,2,536
805,308,6,852,2,536
806,311,6,855,2,536
